provinsi,komoditas,golongan_pengeluaran,konsumsi_perkapita_per_minggu,jumlah_penduduk,persentase_kemiskinan,tingkat_pengangguran,akses_pendidikan,fasilitas_kesehatan,akses_air_bersih,kategori_kemiskinan
Sumatera Barat,Kembung diawetkan/peda,300 000- 499 999.5,0.006,2073,24.05,16.9,sedang,memadai,tidak,tinggi
Sumatera Utara,Kembung diawetkan/peda,500 000- 749 999.5,0.005,3690,10.78,11.66,buruk,memadai,tidak,rendah
Sumatera Utara,Kembung diawetkan/peda,750 000- 999 999.5,0.008,4888,29.16,15.39,buruk,memadai,ya,tinggi
Sumatera Barat,Kembung diawetkan/peda,1 000 000- 1 499 999.5,0.006,4297,20.56,7.26,baik,tidak memadai,ya,sedang
Sumatera Selatan,Kembung diawetkan/peda,> 1 500 000.5,0.005,3789,5.14,18.85,baik,tidak memadai,ya,tinggi
Sumatera Barat,Kembung diawetkan/peda,300 000- 499 999.6,2.51,4247,15.39,4.47,buruk,memadai,ya,sedang
Sumatera Selatan,Kembung diawetkan/peda,500 000- 749 999.6,0.004,2605,15.92,19.89,buruk,memadai,tidak,tinggi
Sumatera Selatan,Kembung diawetkan/peda,750 000- 999 999.6,0.003,807,25.23,13.76,baik,tidak memadai,tidak,tinggi
Sumatera Selatan,Kembung diawetkan/peda,1 000 000- 1 499 999.6,0.003,3859,12.63,10.99,buruk,memadai,tidak,rendah
Sumatera Selatan,Kembung diawetkan/peda,> 1 500 000.6,0.005,3676,13.28,8.28,baik,memadai,tidak,rendah
Sumatera Utara,Kembung diawetkan/peda,300 000- 499 999.7,0.002,1751,6.76,9.89,baik,memadai,ya,rendah
Sumatera Utara,Kembung diawetkan/peda,500 000- 749 999.7,0.006,3247,12.09,16.3,sedang,tidak memadai,ya,tinggi
Sumatera Selatan,Kembung diawetkan/peda,750 000- 999 999.7,0.005,2017,22.92,5.37,sedang,memadai,tidak,sedang
Sumatera Utara,Kembung diawetkan/peda,1 000 000- 1 499 999.7,0.007,1878,20.87,7.3,baik,memadai,tidak,sedang
Sumatera Selatan,Kembung diawetkan/peda,> 1 500 000.7,0.005,2461,7.03,5.1,buruk,tidak memadai,tidak,rendah
Sumatera Utara,Kembung diawetkan/peda,300 000- 499 999.8,0.002,4805,7.87,10.25,sedang,tidak memadai,ya,rendah
Sumatera Barat,Kembung diawetkan/peda,500 000- 749 999.8,0.005,3363,14.42,9.58,sedang,tidak memadai,ya,rendah
Sumatera Barat,Kembung diawetkan/peda,750 000- 999 999.8,0.004,3156,23.59,14.03,sedang,memadai,ya,sedang
Sumatera Utara,Kembung diawetkan/peda,1 000 000- 1 499 999.8,0.005,2994,25.82,19.93,baik,memadai,ya,tinggi
Sumatera Utara,Kembung diawetkan/peda,> 1 500 000.8,0.005,4505,5.37,18.17,sedang,tidak memadai,ya,tinggi
Sumatera Selatan,Kembung diawetkan/peda,300 000- 499 999.9,0.006,4063,13.23,17.97,baik,tidak memadai,ya,tinggi
Sumatera Barat,Kembung diawetkan/peda,500 000- 749 999.9,0.002,1422,15.61,13.98,sedang,memadai,tidak,sedang
Sumatera Utara,Kembung diawetkan/peda,750 000- 999 999.9,0.002,4732,27.78,7.6,baik,tidak memadai,ya,tinggi
Sumatera Barat,Kembung diawetkan/peda,1 000 000- 1 499 999.9,0.002,4962,17.54,9.53,baik,memadai,tidak,sedang
Sumatera Barat,Kembung diawetkan/peda,> 1 500 000.9,0.004,3459,11.74,7.25,baik,memadai,tidak,rendah
Sumatera Selatan,Kembung diawetkan/peda,500 000- 749 999.10,0.005,683,14.75,5.3,buruk,memadai,ya,rendah
Sumatera Barat,Kembung diawetkan/peda,750 000- 999 999.10,0.006,3858,15.91,10.41,buruk,tidak memadai,tidak,sedang
Sumatera Utara,Kembung diawetkan/peda,1 000 000- 1 499 999.10,0.009,1898,21.75,18.26,buruk,tidak memadai,tidak,tinggi
Sumatera Selatan,Kembung diawetkan/peda,> 1 500 000.10,0.008,3296,6.03,15.65,sedang,memadai,ya,tinggi
Sumatera Selatan,Kembung diawetkan/peda,300 000- 499 999.11,0.002,1036,14.74,19.74,sedang,tidak memadai,ya,tinggi
Sumatera Selatan,Kembung diawetkan/peda,500 000- 749 999.11,0.004,1773,21.16,6.31,baik,memadai,tidak,sedang
Sumatera Selatan,Kembung diawetkan/peda,750 000- 999 999.11,0.005,3467,12.08,11.51,baik,tidak memadai,ya,rendah
Sumatera Selatan,Kembung diawetkan/peda,1 000 000- 1 499 999.11,0.006,3549,19.79,16.48,sedang,tidak memadai,ya,tinggi
Sumatera Barat,Kembung diawetkan/peda,> 1 500 000.11,0.005,1596,13.93,10.83,baik,tidak memadai,ya,rendah
Sumatera Utara,Kembung diawetkan/peda,500 000- 749 999.12,0.002,1805,23.97,9.04,baik,memadai,tidak,sedang
Sumatera Barat,Kembung diawetkan/peda,750 000- 999 999.12,0.004,1415,6.51,16.87,baik,memadai,ya,tinggi
Sumatera Barat,Kembung diawetkan/peda,1 000 000- 1 499 999.12,0.003,3581,27.95,10.32,baik,memadai,ya,tinggi
Sumatera Barat,Kembung diawetkan/peda,> 1 500 000.12,0.004,4747,9.29,18.52,baik,memadai,tidak,tinggi
Sumatera Utara,Kembung diawetkan/peda,300 000- 499 999.13,0.009,1528,8.96,7.56,baik,memadai,ya,rendah
Sumatera Selatan,Kembung diawetkan/peda,500 000- 749 999.13,0.006,2477,26.02,18.24,sedang,tidak memadai,ya,tinggi
Sumatera Selatan,Kembung diawetkan/peda,750 000- 999 999.13,0.008,3854,26.73,7.73,baik,memadai,ya,tinggi
Sumatera Barat,Kembung diawetkan/peda,1 000 000- 1 499 999.13,0.009,3011,7.32,7.92,buruk,tidak memadai,ya,rendah
Sumatera Selatan,Kembung diawetkan/peda,> 1 500 000.13,0.017,770,27.72,10.15,buruk,memadai,ya,tinggi
Sumatera Utara,Kembung diawetkan/peda,300 000- 499 999.14,0.006,1686,11.83,11.77,buruk,memadai,ya,rendah
Sumatera Utara,Kembung diawetkan/peda,500 000- 749 999.14,0.005,4700,20.47,10.11,sedang,tidak memadai,ya,sedang
Sumatera Barat,Kembung diawetkan/peda,750 000- 999 999.14,0.006,4264,6.71,17.66,sedang,memadai,tidak,tinggi
Sumatera Barat,Kembung diawetkan/peda,1 000 000- 1 499 999.14,0.006,2898,14.52,16.52,sedang,memadai,ya,tinggi
Sumatera Utara,Kembung diawetkan/peda,> 1 500 000.14,0.009,4735,16.27,8.27,baik,memadai,tidak,sedang
Sumatera Utara,Kembung diawetkan/peda,500 000- 749 999.15,0.004,4682,20.0,11.7,sedang,memadai,ya,sedang
Sumatera Barat,Kembung diawetkan/peda,750 000- 999 999.15,4.96,2211,18.13,10.33,buruk,tidak memadai,tidak,sedang
Sumatera Selatan,Kembung diawetkan/peda,1 000 000- 1 499 999.15,0.003,2730,16.54,3.95,baik,memadai,ya,sedang
Sumatera Selatan,Kembung diawetkan/peda,> 1 500 000.15,0.005,628,28.99,15.72,sedang,tidak memadai,tidak,tinggi
Sumatera Utara,Kembung diawetkan/peda,300 000- 499 999.16,0.003,1769,9.63,6.09,sedang,memadai,ya,rendah
Sumatera Utara,Kembung diawetkan/peda,500 000- 749 999.16,0.007,4172,8.95,18.88,sedang,memadai,ya,tinggi
Sumatera Selatan,Kembung diawetkan/peda,750 000- 999 999.16,0.005,2101,22.84,9.76,buruk,memadai,ya,sedang
Sumatera Barat,Kembung diawetkan/peda,1 000 000- 1 499 999.16,0.008,4470,6.86,13.58,baik,memadai,ya,rendah
Sumatera Utara,Kembung diawetkan/peda,> 1 500 000.16,0.006,4744,17.07,16.91,buruk,memadai,tidak,tinggi
Sumatera Barat,Kembung diawetkan/peda,300 000- 499 999.17,0.002,1127,17.1,6.07,sedang,memadai,ya,sedang
Sumatera Barat,Kembung diawetkan/peda,500 000- 749 999.17,0.006,4297,12.75,12.2,buruk,tidak memadai,ya,rendah
Sumatera Selatan,Kembung diawetkan/peda,750 000- 999 999.17,0.003,2544,28.26,7.04,sedang,memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,1 000 000- 1 499 999.17,0.006,4052,12.06,11.66,baik,memadai,ya,rendah
Sumatera Utara,Tenggiri diawetkan,> 1 500 000.17,0.005,2841,12.21,12.85,buruk,tidak memadai,ya,rendah
Sumatera Utara,Tenggiri diawetkan,500 000- 749 999.18,0.002,3714,10.86,5.88,buruk,memadai,ya,rendah
Sumatera Utara,Tenggiri diawetkan,750 000- 999 999.18,0.001,749,8.64,12.87,baik,tidak memadai,ya,rendah
Sumatera Selatan,Tenggiri diawetkan,1 000 000- 1 499 999.18,0.006,3425,14.1,10.73,sedang,memadai,tidak,rendah
Sumatera Utara,Tenggiri diawetkan,> 1 500 000.18,0.004,1474,22.02,11.87,baik,tidak memadai,ya,sedang
Sumatera Barat,Tenggiri diawetkan,500 000- 749 999.19,0.004,1825,23.55,18.38,baik,memadai,tidak,tinggi
Sumatera Selatan,Tenggiri diawetkan,750 000- 999 999.19,0.007,1483,25.34,11.22,sedang,memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,1 000 000- 1 499 999.19,0.007,1388,9.94,11.09,baik,memadai,ya,rendah
Sumatera Barat,Tenggiri diawetkan,> 1 500 000.19,0.011,3437,5.89,11.0,sedang,memadai,ya,rendah
Sumatera Selatan,Tenggiri diawetkan,500 000- 749 999.20,0.003,2617,29.37,13.59,sedang,memadai,tidak,tinggi
Sumatera Utara,Tenggiri diawetkan,750 000- 999 999.20,0.005,3172,5.36,9.25,buruk,tidak memadai,ya,rendah
Sumatera Utara,Tenggiri diawetkan,1 000 000- 1 499 999.20,0.006,1826,29.02,16.62,baik,tidak memadai,ya,tinggi
Sumatera Barat,Tenggiri diawetkan,> 1 500 000.20,0.006,970,25.72,7.86,baik,memadai,tidak,tinggi
Sumatera Barat,Tenggiri diawetkan,300 000- 499 999,0.003,2487,27.8,8.09,sedang,memadai,tidak,tinggi
Sumatera Utara,Tenggiri diawetkan,500 000- 749 999,0.003,590,14.68,13.01,baik,memadai,ya,rendah
Sumatera Utara,Tenggiri diawetkan,750 000- 999 999,0.014,1029,9.93,7.42,baik,memadai,ya,rendah
Sumatera Utara,Tenggiri diawetkan,1 000 000- 1 499 999,0.01,4559,20.16,4.53,baik,tidak memadai,ya,sedang
Sumatera Selatan,Tenggiri diawetkan,> 1 500 000,0.006,3273,23.53,6.49,buruk,memadai,ya,sedang
Sumatera Utara,Tenggiri diawetkan,200 000- 299 999.1,0.002,2186,8.27,18.53,buruk,tidak memadai,ya,tinggi
Sumatera Barat,Tenggiri diawetkan,300 000- 499 999.1,0.012,691,24.94,3.18,buruk,memadai,ya,sedang
Sumatera Barat,Tenggiri diawetkan,500 000- 749 999.1,0.011,2486,10.21,5.27,baik,tidak memadai,ya,rendah
Sumatera Selatan,Tenggiri diawetkan,750 000- 999 999.1,0.008,4123,17.29,15.89,sedang,tidak memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,1 000 000- 1 499 999.1,0.013,2685,26.41,19.66,buruk,memadai,tidak,tinggi
Sumatera Selatan,Tenggiri diawetkan,> 1 500 000.1,0.021,4940,9.84,14.7,sedang,memadai,ya,rendah
Sumatera Barat,Tenggiri diawetkan,200 000- 299 999.2,0.002,1508,11.05,18.68,baik,tidak memadai,ya,tinggi
Sumatera Barat,Tenggiri diawetkan,300 000- 499 999.2,0.01,4283,6.57,17.54,sedang,memadai,tidak,tinggi
Sumatera Utara,Tenggiri diawetkan,500 000- 749 999.2,0.008,4798,8.67,11.16,sedang,memadai,tidak,rendah
Sumatera Utara,Tenggiri diawetkan,750 000- 999 999.2,0.011,4787,8.66,8.67,sedang,memadai,ya,rendah
Sumatera Utara,Tenggiri diawetkan,1 000 000- 1 499 999.2,0.012,2552,10.09,13.75,sedang,memadai,tidak,rendah
Sumatera Barat,Tenggiri diawetkan,> 1 500 000.2,0.011,3808,12.16,12.07,baik,tidak memadai,ya,rendah
Sumatera Utara,Tenggiri diawetkan,300 000- 499 999.3,0.001,2216,25.37,3.44,baik,tidak memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,500 000- 749 999.3,0.003,810,27.89,19.27,buruk,tidak memadai,tidak,tinggi
Sumatera Selatan,Tenggiri diawetkan,750 000- 999 999.3,0.015,1760,15.16,12.69,sedang,memadai,ya,sedang
Sumatera Selatan,Tenggiri diawetkan,1 000 000- 1 499 999.3,0.009,4432,8.21,17.87,baik,memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,> 1 500 000.3,0.007,3768,10.6,15.49,sedang,tidak memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,200 000- 299 999.4,0.015,1084,23.41,8.79,sedang,memadai,tidak,sedang
Sumatera Utara,Tenggiri diawetkan,300 000- 499 999.4,0.011,3299,21.94,18.32,buruk,memadai,ya,tinggi
Sumatera Utara,Tenggiri diawetkan,500 000- 749 999.4,0.015,859,29.18,16.44,sedang,memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,750 000- 999 999.4,0.025,3366,5.36,10.31,baik,tidak memadai,ya,rendah
Sumatera Selatan,Tenggiri diawetkan,1 000 000- 1 499 999.4,0.024,2511,23.77,17.29,sedang,tidak memadai,tidak,tinggi
Sumatera Utara,Tenggiri diawetkan,> 1 500 000.4,0.023,4506,17.64,7.62,sedang,memadai,ya,sedang
Sumatera Utara,Tenggiri diawetkan,200 000- 299 999.5,0.01,2125,27.57,14.4,buruk,memadai,tidak,tinggi
Sumatera Selatan,Tenggiri diawetkan,300 000- 499 999.5,0.008,3264,19.4,4.95,baik,tidak memadai,tidak,sedang
Sumatera Barat,Tenggiri diawetkan,500 000- 749 999.5,0.011,1390,16.17,17.72,baik,memadai,tidak,tinggi
Sumatera Utara,Tenggiri diawetkan,750 000- 999 999.5,0.021,1231,21.65,15.4,buruk,memadai,tidak,tinggi
Sumatera Selatan,Tenggiri diawetkan,1 000 000- 1 499 999.5,0.016,4461,25.84,5.59,sedang,tidak memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,> 1 500 000.5,0.012,3004,12.06,3.36,sedang,memadai,tidak,rendah
Sumatera Barat,Tenggiri diawetkan,300 000- 499 999.6,0.012,1114,7.69,9.63,buruk,memadai,tidak,rendah
Sumatera Selatan,Tenggiri diawetkan,500 000- 749 999.6,0.014,4306,15.83,14.48,baik,memadai,ya,sedang
Sumatera Utara,Tenggiri diawetkan,750 000- 999 999.6,0.011,2219,10.36,7.81,sedang,memadai,ya,rendah
Sumatera Utara,Tenggiri diawetkan,1 000 000- 1 499 999.6,0.005,2087,15.74,19.55,sedang,memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,> 1 500 000.6,0.007,2111,29.78,18.89,sedang,memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,300 000- 499 999.7,0.023,1396,19.35,13.16,baik,tidak memadai,ya,sedang
Sumatera Selatan,Tenggiri diawetkan,500 000- 749 999.7,0.025,777,22.34,8.37,sedang,tidak memadai,ya,sedang
Sumatera Barat,Tenggiri diawetkan,750 000- 999 999.7,0.03,2136,21.95,18.24,baik,tidak memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,1 000 000- 1 499 999.7,0.03,2658,25.52,16.66,buruk,tidak memadai,ya,tinggi
Sumatera Utara,Tenggiri diawetkan,> 1 500 000.7,0.029,2932,28.6,4.46,sedang,tidak memadai,tidak,tinggi
Sumatera Utara,Tenggiri diawetkan,300 000- 499 999.8,0.02,4404,21.47,11.1,baik,tidak memadai,tidak,sedang
Sumatera Selatan,Tenggiri diawetkan,500 000- 749 999.8,0.021,3762,16.9,19.68,sedang,memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,750 000- 999 999.8,0.022,1949,12.95,10.72,baik,tidak memadai,ya,rendah
Sumatera Selatan,Tenggiri diawetkan,1 000 000- 1 499 999.8,0.018,5000,14.01,18.86,sedang,tidak memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,> 1 500 000.8,0.014,1732,13.36,19.61,buruk,tidak memadai,ya,tinggi
Sumatera Utara,Tenggiri diawetkan,300 000- 499 999.9,0.007,4617,13.11,9.59,baik,memadai,tidak,rendah
Sumatera Utara,Tenggiri diawetkan,500 000- 749 999.9,0.025,1177,22.37,19.4,baik,memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,750 000- 999 999.9,0.016,3158,19.69,5.34,sedang,memadai,tidak,sedang
Sumatera Utara,Tenggiri diawetkan,1 000 000- 1 499 999.9,0.018,2528,10.05,5.72,sedang,memadai,ya,rendah
Sumatera Barat,Tenggiri diawetkan,> 1 500 000.9,0.007,4258,29.24,7.7,sedang,memadai,tidak,tinggi
Sumatera Selatan,Tenggiri diawetkan,300 000- 499 999.10,0.006,2537,15.69,10.95,sedang,tidak memadai,ya,sedang
Sumatera Utara,Tenggiri diawetkan,500 000- 749 999.10,0.017,3149,19.15,6.08,baik,tidak memadai,ya,sedang
Sumatera Selatan,Tenggiri diawetkan,750 000- 999 999.10,0.022,1156,22.57,8.78,baik,memadai,ya,sedang
Sumatera Barat,Tenggiri diawetkan,1 000 000- 1 499 999.10,0.032,665,20.34,4.76,baik,memadai,ya,sedang
Sumatera Utara,Tenggiri diawetkan,> 1 500 000.10,0.026,1089,12.78,10.31,baik,tidak memadai,ya,rendah
Sumatera Utara,Tenggiri diawetkan,300 000- 499 999.11,0.006,3321,24.94,17.07,baik,tidak memadai,ya,tinggi
Sumatera Barat,Tenggiri diawetkan,500 000- 749 999.11,0.02,4758,7.75,13.12,sedang,memadai,ya,rendah
Sumatera Barat,Tenggiri diawetkan,750 000- 999 999.11,0.02,1762,19.22,16.77,baik,memadai,ya,tinggi
Sumatera Utara,Tenggiri diawetkan,1 000 000- 1 499 999.11,0.025,571,11.83,5.31,buruk,tidak memadai,tidak,rendah
Sumatera Selatan,Tenggiri diawetkan,> 1 500 000.11,0.013,4016,20.39,9.79,buruk,tidak memadai,tidak,sedang
Sumatera Utara,Tenggiri diawetkan,300 000- 499 999.12,0.026,4080,10.45,3.67,sedang,memadai,ya,rendah
Sumatera Selatan,Tenggiri diawetkan,500 000- 749 999.12,0.006,768,24.3,9.29,buruk,tidak memadai,ya,sedang
Sumatera Utara,Tenggiri diawetkan,750 000- 999 999.12,0.008,2276,10.69,13.45,buruk,tidak memadai,tidak,rendah
Sumatera Utara,Tenggiri diawetkan,1 000 000- 1 499 999.12,0.009,2962,27.26,12.67,baik,memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,> 1 500 000.12,0.014,1768,26.54,4.03,buruk,tidak memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,300 000- 499 999.13,0.008,1515,14.06,4.06,buruk,memadai,ya,rendah
Sumatera Utara,Tenggiri diawetkan,500 000- 749 999.13,0.014,3222,14.65,8.19,baik,tidak memadai,ya,rendah
Sumatera Selatan,Tenggiri diawetkan,750 000- 999 999.13,0.02,1583,22.54,16.11,buruk,tidak memadai,ya,tinggi
Sumatera Barat,Tenggiri diawetkan,1 000 000- 1 499 999.13,0.026,4601,7.26,3.35,buruk,tidak memadai,ya,rendah
Sumatera Selatan,Tenggiri diawetkan,> 1 500 000.13,0.018,906,7.02,13.47,baik,memadai,ya,rendah
Sumatera Barat,Tenggiri diawetkan,300 000- 499 999.14,0.014,3576,8.41,6.12,buruk,memadai,ya,rendah
Sumatera Utara,Tenggiri diawetkan,500 000- 749 999.14,0.011,1485,19.06,19.05,sedang,memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,750 000- 999 999.14,0.015,4103,8.73,10.31,buruk,tidak memadai,ya,rendah
Sumatera Utara,Tenggiri diawetkan,1 000 000- 1 499 999.14,0.018,4985,11.94,3.81,baik,tidak memadai,tidak,rendah
Sumatera Barat,Tenggiri diawetkan,> 1 500 000.14,0.016,1209,21.17,15.13,baik,tidak memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,300 000- 499 999.15,0.001,3118,5.39,11.24,buruk,tidak memadai,ya,rendah
Sumatera Selatan,Tenggiri diawetkan,500 000- 749 999.15,0.009,1911,9.51,17.98,sedang,memadai,ya,tinggi
Sumatera Barat,Tenggiri diawetkan,750 000- 999 999.15,0.009,1985,28.25,14.08,sedang,tidak memadai,tidak,tinggi
Sumatera Utara,Tenggiri diawetkan,1 000 000- 1 499 999.15,0.011,3450,21.59,14.77,sedang,tidak memadai,ya,sedang
Sumatera Selatan,Tenggiri diawetkan,> 1 500 000.15,0.009,3434,12.64,16.04,sedang,memadai,tidak,tinggi
Sumatera Barat,Tenggiri diawetkan,300 000- 499 999.16,0.014,4614,6.13,10.15,sedang,tidak memadai,ya,rendah
Sumatera Barat,Tenggiri diawetkan,500 000- 749 999.16,0.016,1503,19.65,16.47,buruk,memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,750 000- 999 999.16,0.026,2966,10.57,3.86,sedang,memadai,ya,rendah
Sumatera Barat,Tenggiri diawetkan,1 000 000- 1 499 999.16,0.02,2966,29.0,16.01,sedang,memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,> 1 500 000.16,0.023,2438,22.17,13.82,buruk,tidak memadai,ya,sedang
Sumatera Utara,Tenggiri diawetkan,300 000- 499 999.17,0.009,2439,29.35,12.63,baik,tidak memadai,tidak,tinggi
Sumatera Barat,Tenggiri diawetkan,500 000- 749 999.17,0.013,2135,26.22,8.41,sedang,memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,750 000- 999 999.17,0.019,2198,17.08,4.94,buruk,tidak memadai,ya,sedang
Sumatera Utara,Tenggiri diawetkan,1 000 000- 1 499 999.17,0.016,2591,21.74,14.0,buruk,memadai,ya,sedang
Sumatera Selatan,Tenggiri diawetkan,> 1 500 000.17,0.014,2395,25.3,11.02,buruk,memadai,tidak,tinggi
Sumatera Selatan,Tenggiri diawetkan,500 000- 749 999.18,0.004,4740,19.45,6.7,sedang,memadai,ya,sedang
Sumatera Selatan,Tenggiri diawetkan,750 000- 999 999.18,0.006,3898,6.54,3.74,sedang,memadai,tidak,rendah
Sumatera Selatan,Tenggiri diawetkan,1 000 000- 1 499 999.18,0.01,1573,16.76,12.16,sedang,tidak memadai,ya,sedang
Sumatera Barat,Tenggiri diawetkan,> 1 500 000.18,0.015,2902,8.26,5.15,baik,memadai,ya,rendah
Sumatera Barat,Tenggiri diawetkan,300 000- 499 999.19,1.56,3712,22.87,18.8,baik,memadai,ya,tinggi
Sumatera Barat,Tenggiri diawetkan,500 000- 749 999.19,0.018,4537,22.02,5.56,baik,memadai,tidak,sedang
Sumatera Barat,Tenggiri diawetkan,750 000- 999 999.19,0.021,1651,29.82,3.54,buruk,memadai,ya,tinggi
Sumatera Selatan,Tenggiri diawetkan,1 000 000- 1 499 999.19,0.024,2945,20.72,7.45,buruk,tidak memadai,ya,sedang
Sumatera Utara,Tenggiri diawetkan,> 1 500 000.19,0.024,2456,25.0,5.97,sedang,memadai,ya,sedang
Sumatera Selatan,Tenggiri diawetkan,300 000- 499 999.20,0.54,4407,11.71,16.45,baik,memadai,tidak,tinggi
Sumatera Barat,Tenggiri diawetkan,500 000- 749 999.20,0.013,1307,13.5,7.92,baik,tidak memadai,tidak,rendah
Sumatera Utara,Tenggiri diawetkan,750 000- 999 999.20,0.015,686,27.93,7.17,baik,memadai,ya,tinggi
Sumatera Barat,Tongkol/tuna/cakalang diawetkan,1 000 000- 1 499 999.20,0.017,1807,23.88,19.91,sedang,tidak memadai,ya,tinggi
Sumatera Barat,Tongkol/tuna/cakalang diawetkan,> 1 500 000.20,0.018,2784,21.38,5.55,buruk,memadai,ya,sedang
Sumatera Utara,Tongkol/tuna/cakalang diawetkan,200 000- 299 999,0.06,1257,11.35,4.44,baik,memadai,ya,rendah
Sumatera Utara,Tongkol/tuna/cakalang diawetkan,300 000- 499 999,0.151,4731,22.46,8.2,baik,memadai,tidak,sedang
Sumatera Utara,Tongkol/tuna/cakalang diawetkan,500 000- 749 999,0.144,4354,27.17,9.89,buruk,memadai,ya,tinggi
Sumatera Barat,Tongkol/tuna/cakalang diawetkan,750 000- 999 999,0.154,4766,10.77,15.93,sedang,memadai,tidak,tinggi
Sumatera Utara,Tongkol/tuna/cakalang diawetkan,1 000 000- 1 499 999,0.135,2706,22.65,19.24,baik,memadai,tidak,tinggi
Sumatera Barat,Tongkol/tuna/cakalang diawetkan,> 1 500 000,0.134,4058,14.84,15.98,baik,memadai,ya,tinggi
Sumatera Selatan,Tongkol/tuna/cakalang diawetkan,150 000- 199 999.1,0.261,2080,7.97,15.35,sedang,memadai,tidak,tinggi
Sumatera Selatan,Tongkol/tuna/cakalang diawetkan,200 000- 299 999.1,0.102,1461,24.09,19.85,sedang,tidak memadai,ya,tinggi
Sumatera Barat,Tongkol/tuna/cakalang diawetkan,300 000- 499 999.1,0.149,4347,9.18,16.01,sedang,memadai,ya,tinggi
Sumatera Barat,Tongkol/tuna/cakalang diawetkan,500 000- 749 999.1,0.163,4075,11.32,5.37,buruk,memadai,ya,rendah
Sumatera Barat,Tongkol/tuna/cakalang diawetkan,750 000- 999 999.1,0.189,1375,24.57,10.85,baik,tidak memadai,ya,sedang
Sumatera Utara,Tongkol/tuna/cakalang diawetkan,1 000 000- 1 499 999.1,0.222,2918,23.55,11.56,sedang,tidak memadai,ya,sedang
Sumatera Utara,Tongkol/tuna/cakalang diawetkan,> 1 500 000.1,0.229,4698,11.35,8.18,baik,tidak memadai,ya,rendah
Sumatera Selatan,Tongkol/tuna/cakalang diawetkan,150 000- 199 999.2,0.261,1501,28.52,5.79,baik,memadai,ya,tinggi
Sumatera Selatan,Tongkol/tuna/cakalang diawetkan,200 000- 299 999.2,0.094,3884,10.38,15.1,sedang,memadai,ya,tinggi
Sumatera Selatan,Tongkol/tuna/cakalang diawetkan,300 000- 499 999.2,0.15,4566,29.84,7.72,baik,memadai,ya,tinggi
Sumatera Selatan,Tongkol/tuna/cakalang diawetkan,500 000- 749 999.2,0.156,3345,23.45,13.62,sedang,memadai,tidak,sedang
Sumatera Selatan,Tongkol/tuna/cakalang diawetkan,750 000- 999 999.2,0.176,1981,14.81,8.48,baik,tidak memadai,ya,rendah
Sumatera Utara,Tongkol/tuna/cakalang diawetkan,1 000 000- 1 499 999.2,0.182,3801,8.26,11.61,baik,tidak memadai,ya,rendah
Sumatera Barat,Tongkol/tuna/cakalang diawetkan,> 1 500 000.2,0.165,1157,13.01,8.73,baik,memadai,ya,rendah
Sumatera Selatan,Tongkol/tuna/cakalang diawetkan,200 000- 299 999.3,0.084,3280,9.84,10.0,sedang,tidak memadai,ya,rendah
Sumatera Barat,Tongkol/tuna/cakalang diawetkan,300 000- 499 999.3,0.099,922,20.55,15.45,buruk,memadai,tidak,tinggi
Sumatera Barat,Tongkol/tuna/cakalang diawetkan,500 000- 749 999.3,0.128,4181,13.92,18.03,sedang,tidak memadai,ya,tinggi
Sumatera Utara,Tongkol/tuna/cakalang diawetkan,750 000- 999 999.3,0.128,4766,12.38,11.65,buruk,tidak memadai,tidak,rendah
Sumatera Utara,Tongkol/tuna/cakalang diawetkan,1 000 000- 1 499 999.3,0.119,3210,23.93,13.37,sedang,memadai,ya,sedang
Sumatera Barat,Tongkol/tuna/cakalang diawetkan,> 1 500 000.3,0.12,952,10.76,17.69,sedang,tidak memadai,ya,tinggi
Sumatera Utara,Tongkol/tuna/cakalang diawetkan,200 000- 299 999.4,0.05,2897,19.67,5.43,buruk,tidak memadai,ya,sedang
Sumatera Utara,Tongkol/tuna/cakalang diawetkan,300 000- 499 999.4,0.123,2475,9.86,5.76,baik,memadai,ya,rendah
Sumatera Selatan,Tongkol/tuna/cakalang diawetkan,500 000- 749 999.4,0.163,2157,22.87,9.11,sedang,memadai,ya,sedang
